id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_attribution_name,image_attribution_url,image_creative_commons,chef,source_url,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
227,Crisped Up Coconut Shrimp,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",10,,20.0,,Easy,4.0,1.0,0.5,1.0,3.0,0.5,,,,,,pound of large shrimp (peeled and deveined),cup coconut flour,tsp cayenne seasoning (salt included),eggs beaten,cup unsweetened coconut flakes,,,,,,"Keep the coconut flour with the seasoning, coconut flakes, and beaten eggs into  separate bowls each.","Dip and roll in the shrimps (one by one) into the coconut flour mixture, shake off the  excess flour, dip in the eggs and then roll in last to the unsweetened coconut flakes.",Heat one cup of oil and dry the shrimps for 4-5 minutes or until golden brown.,Serve in a shallow dish with absorbing paper and serve with hot mayo (mayo with  cayenne seasoning),,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Crisped_Up_Coconut_Shrimp-Crisped_Up_Coconut_Shrimp.jpg,,,True,,,354,24.0,20.0,13.0
236,Perfect Tuna Salad And Pickle Boats,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",10,30 chill time,,,Easy,4.0,18.0,6.0,0.5,0.25,1.0,,,,,,oz canned and drained tuna,large dill pickles,tsp garlic powder,cup sugar-free mayonnaise,tsp onion powder,,,,,,"Mix the mayo, tuna, onion, and garlic powders in a bowl. Cut the pickles in half,  lengthwise. Top each half with a tuna mixture.",Place in the fridge for 30 minutes and serve,,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Perfect_Tuna_Salad_And_Pickle_Boats-Perfect_Tuna_Salad_And_Pickle_Boats.jpg,,,True,,,118,10.0,1.5,11.0
254,Hearty Keto Chicken And Egg Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",5,,10.0,,Easy,2.0,1.5,2.0,1.0,1.0,0.5,,,,,,cup chicken broth,whole eggs,teaspoon chili garlic paste,tablespoon bacon grease,"a cube, chicken bouillon",,,,,,Take a stove top pan and place it over medium-high heat,"Add chicken broth, bouillon cube, bacon grease and stir",Bring the mix to a boil,Mix in chili garlic paste,"Take a bowl and whisk in eggs, add whisked egg to the pan",Lower down heat and gently simmer for a few minutes,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hearty_Keto_Chicken_And_Egg_Soup-Hearty_Keto_Chicken_And_Egg_Soup.jpg,,,True,,,280,25.0,3.0,14.0
257,The Brussels’s Fever,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,20.0,,Easy,4.0,2.0,1.0,2.0,4.0,0.25,,,,,,tablespoons olive oil,"yellow onion, chopped","pounds Brussels sprouts, trimmed and halved",cups chicken stock,cup coconut cream,,,,,,Take a pot and place it over medium heat,Add oil and let it heat up,Add onion and stir cook for 3 minutes,"Add Brussels sprouts and stir, cook for 2 minutes","Add stock and black pepper, stir and bring to a simmer",Cook for 20 minutes more,Use an immersion blender to make the soup creamy,Add coconut cream and stir well,Ladle into soup bowls and serve,Enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/The_Brusselss_Fever-The_Brusselss_Fever.jpg,,,True,,,200,11.0,6.0,11.0
261,Dreamy Zucchini Bowl,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,20.0,,Easy,4.0,1.0,3.0,2.0,2.0,4.0,2.0,,,,,"onion, chopped","zucchinis, cut into medium chunks",tablespoons coconut milk,"garlic cloves, minced",cups chicken stock,tablespoons coconut oil,Pinch of salt,Black pepper to taste,,,Take a pot and place it over medium heat,Add oil and let it heat up,"Add zucchini, garlic, onion and stir",Cook for 5 minutes,"Add stock, salt, pepper and stir",Bring to a boil and lower down heat,Simmer for 20 minutes Remove heat and add coconut milk,Use an immersion blender until smooth,Ladle into soup bowls and serve,Enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Dreamy_Zucchini_Bowl-Dreamy_Zucchini_Bowl.jpg,,,True,,,160,2.0,4.0,7.0
262,Wild Mushroom Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,30.0,,Easy,4.0,10.0,0.25,1.0,5.0,0.5,,,,,,oz of wild mushrooms,cup salted butter,"tbsp of garlic, minced",cups of vegetable broth,cup of fresh cream,,,,,,Heat a pan with the butter and saute the mushrooms with the garlic for 3-4 minutes.,Transfer to a large saucepan and add the vegetable broth. Bring to a boil and  reduce the heat to simmer for 20 minutes.,Add the creme fresh towards the last two minutes of cooking,Let the soup cool for 5 minutes and using an immersion blender blend until the soup  is silky smooth with no visible parts of mushrooms. You should end up with a grayishbrown sort of color.,"Transfer into soup bowls and add extra doses of cream or parsley on top  optionally, for garnish",,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Wild_Mushroom_Soup-Wild_Mushroom_Soup.jpg,,,True,,,281,24.0,10.0,7.0
267,Hearty Crab Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",20,,420.0,,Medium,4.0,1.0,1.0,,3.0,1.0,,,,,,"cup crab meat, cubed","tablespoon garlic, minced",Red chili flakes as needed,cups vegetable broth,teaspoon salt,,,,,,Coat the crab cubes in lime juice and let them sit for a while,Add the all ingredients (including marinated crab meat) to your Slow Cooker and put  the lid,Cook on MEDIUM for 3 hours,Let it sit for a while,Remove lid and simmer the soup for 5 minutes more on LOW,Stir and check to season,Enjoy!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hearty_Crab_Soup-Hearty_Crab_Soup.jpg,,,True,,,201,11.0,12.0,13.0
270,"Turkey, Kale And Sausage Delight","{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,40.0,,Medium,4.0,1.0,2.0,4.0,1.0,4.0,,,,,,"broccoli head, cut into florets","cloves garlic, chopped",cups vegetable broth,cup heavy cream,"slices beef bacon, chopped",,,,,,Take a stockpot and add all the ingredients except salt and black pepper into it.,Let it bring to a boil.,Reduce heat to simmer,Cook for 40 minutes.,"Warm the heavy cream, and then add to the soup.",Season with salt and black pepper.,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Turkey_Kale_And_Sausage_Delight-Turkey_Kale_And_Sausage_Delight.jpg,,,True,,,175,14.0,3.0,9.0
271,Awesome Egg Drop Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,10.0,,Easy,4.0,0.5,1.0,0.5,0.5,0.25,,,,,,"cup chicken breast, cooked, boneless, and skinless","egg, lightly beaten",teaspoon coconut aminos + 4 cups low sodium chicken broth,"cup green beans, frozen","cup green onion, sliced",,,,,,Add chicken stock and soy sauce to a saucepan.,Place it over medium heat.,"Bring the mix to a boil and add green onions, peas, and chicken.",Stir it and bring the mix to boil once again.,Remove the heat and slowly drizzle in the egg.,Set it aside for a few minutes.,"Stir and transfer into a serving bowl, then ladle the soup",Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Awesome_Egg_Drop_Soup-Awesome_Egg_Drop_Soup.jpg,,,True,,,118,4.0,8.0,14.0
272,Cheesy Broccoli Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,30.0,,Easy,4.0,3.0,10.0,2.0,1.0,,,,,,,cans of 14 and ½ ounces chicken broth,ounce Velveeta low-fat cheese,bag frozen broccoli,can of 10 and ½ ounce tomatoes and green chili pepper,,,,,,,"Add frozen broccoli, tomatoes, broth, and chili to a pot.",Mix them well and place the pot over medium heat,Bring it to a boil.,Then reduce the heat and simmer for 25 minutes.,Add cubed Velveeta into the soup.,Simmer until the cheese melts.,Serve hot and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Cheesy_Broccoli_Soup-Cheesy_Broccoli_Soup.jpg,,,True,,,112,4.0,11.0,9.0
278,Original Guacamole Soup,"{'id': 7, 'category': 'Soups and Stews Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Soups_and_Stews_Recipes-Soups_and_Stews.png'}",10,,0.0,,Easy,4.0,4.0,2.0,0.5,1.0,0.5,,,,,,cups vegetable broth,"ripe avocados, pitted","cup cilantro, freshly chopped","tomato, chopped",cup heavy cream,,,,,,Add all the ingredients into a blender,Blend until creamy by using an immersion blender,Let it chill for 1 hour.,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Original_Guacamole_Soup-Original_Guacamole_Soup.jpg,,,True,,,158,14.0,6.0,7.0
285,Deliciously Simple Brownie Muffin,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,35.0,,Medium,5.0,1.0,0.25,1.0,0.5,0.5,1.0,2.0,0.5,1.0,0.25,cup golden flaxseed meal,cup cocoa powder,tablespoon cinnamon,tablespoon baking powder,teaspoon salt,large egg,tablespoons coconut oil and stevia,cup pumpkin puree,teaspoon vanilla extract and apple cider vinegar,"cup almonds, slivered",Pre-heat your oven to 350 degree F,Take a mixing bowl and add all of the listed ingredients and mix everything well,Take your desired number of muffin tins and line them up with paper liners,"Scoop up the batter into the muffin tins, filling them to about 1/4rth of the liner",Sprinkle a bit of almond on top,Place them in your oven and bake for 15 minutes,Serve warm,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Deliciously_Simple_Brownie_Muffin-Deliciously_Simple_Brownie_Muffin.jpg,,,True,,,183,13.0,6.0,7.0
286,The Avocado Day Stopper,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,0.0,,Easy,2.0,0.5,1.0,,0.25,1.0,1.0,,,2.0,,"avocado, cubed",cup coconut milk,Half a lemon,cup fresh spinach leaves,pear,tablespoon hemp. Seed powder,Handful of macadamia nuts,Handful of grapes,lemon slices,,"Add all the listed ingredients to your blender except coconut oil, salt and chili powder",Blend until smooth,"Add salt, coconut oil and chili powder",Stir well and serve chilled!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/The_Avocado_Day_Stopper-The_Avocado_Day_Stopper.jpg,,,True,,,409,33.0,8.0,12.0
288,Easy Jalapeno Bread,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,50.0,,Easy,4.0,4.0,3.0,6.0,0.5,0.25,0.25,0.5,0.5,,,ounces bacon,"Jalapenos, sliced",eggs,"cup Ghee, melted + more for greasing",cup water,teaspoon baking soda,"cup coconut flour, sifted",teaspoon salt,,,Pre-heat your oven to 400 degree F,"Place bacon and sliced jalapeno on baking tray, roast for 10 minutes, making sure to  flip halfway through","Once done, take them out and let them cool",Discard seeds from roasted jalapeno,Add bacon and jalapeno to food processor and pulse until combined,"Take a bowl and add eggs ghee, baking soda, water, coconut flour, salt",Add jalapeno and bacon to batter and mix well,"Grease your baking dish with ghee and pour batter in the pan, bake for 40 minutes at  375 degree F","Let it cool, sliced and enjoy",,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Easy_Jalapeno_Bread-Easy_Jalapeno_Bread.jpg,,,True,,,191,14.0,10.0,9.0
291,The Most Elegant Parsley Soufflé Ever,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",5,,6.0,,Easy,5.0,2.0,1.0,2.0,1.0,,,,,,,whole eggs,"fresh red chili pepper, chopped",tablespoons coconut cream,"tablespoon fresh parsley, chopped",Salt to taste,,,,,,Pre-heat your oven to 390 degree F,Butter 2 soufflé dishes,Add the ingredients to a blender and mix well,Divide batter into soufflé dishes and bake for 6 minutes,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/The_Most_Elegant_Parsley_Souffl%C3%A9_Ever-The_Most_Elegant_Parsley_Souffl%C3%A9_Ever.jpg,,,True,,,108,9.0,9.0,6.0
293,Chocolaty Bacon,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",15,,20.0,,Easy,6.0,12.0,4.5,2.25,1.5,,,,,,,bacon slices,tablespoons unsweetened dark chocolate,tablespoons coconut oil,teaspoons liquid stevia,,,,,,,Pre-heat you oven to 425 degree F,Skewer bacon into iron skewers,Arrange skewers on a baking sheet and bake for 15 minutes until they show a crispy  texture,Transfer to cooling rack,"Take a saucepan and place it over low heat, add coconut oil and let it melt",Stir in coconut chocolate and heat until it melts,Add stevia and gently stir,Place crispy bacon on parchment paper and drizzle chocolate mix,Let the chocolate harden,Serve!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chocolaty_Bacon-Chocolaty_Bacon.jpg,,,True,,,258,26.0,0.5,7.0
295,Lovely Pumpkin Buns,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,50.0,,Easy,10.0,0.5,1.5,1.0,1.0,2.0,5.0,2.0,6.0,1.0,0.3,cup coconut flour and ground flax seeds,cups almond flour,teaspoon onion powder and garlic powder,teaspoon baking soda and salt,teaspoon cream of tartar,tablespoons sesame seeds,Eggs,egg whites,cup warm water,cup Psyllium husk powder,Pre-heat your oven to 350 degree F,"Take a baking tray and line it up with parchment paper, keep it on the side","Take a bowl and mix in dry ingredients, mix it well","Take another bowl and whisk in eggs, water and husk",Mix well until smooth,Slowly add dry ingredients into wet ingredients bowl,Keep mixing until you have an even dough,"Knead dough until smooth and roll dough into buns, arrange them on your baking  tray",Bake for 50 minutes,"Once done, remove from oven and let them cool. Serve!",https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Lovely_Pumpkin_Buns-Lovely_Pumpkin_Buns.jpg,,,True,,,189,13.0,6.0,10.0
296,Gingerbread Keto Muffins,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,0.0,,Easy,6.0,1.0,6.0,1.0,0.5,2.0,1.0,1.0,2.0,,,tablespoon ground flaxseed,tablespoons coconut milk,tablespoon apple cider vinegar,cup peanut butter,tablespoons gingerbread spice blend,teaspoon baking powder,teaspoon vanilla extract,tablespoons Swerve,,,Pre-heat your oven to 350 degree F,"Take a bowl and add flaxseed, salt, vanilla, sweetener, spices and non-dairy milk",Keep it on the side,"Add peanut butter, baking powder and keep mixing",Stir well,Spoon batter into muffin liners and bake for 30 minutes,Let them cool and serve,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Gingerbread_Keto_Muffins-Gingerbread_Keto_Muffins.jpg,,,True,,,283,23.0,13.0,11.0
301,Mesmerizing Garlic Bagels,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,15.0,,Easy,6.0,6.0,1.5,0.3,0.5,0.5,0.5,,,,,whole eggs,teaspoon Garlic powder,"cup butter, melted",teaspoon salt,"cup coconut flour, sifted",teaspoon baking powder,,,,,Pre-heat your oven to 400 degree F,Grease bagel pan and keep it on the side,"Whisk in eggs, garlic powder, butter, salt to a bowl and keep it on the side","Add coconut flour and baking powder to egg mix, mix well until incorporated and a  batter forms with no lumps",Pour batter into bagel pan,Bake for 15 minutes,Remove from oven and let them cool,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Mesmerizing_Garlic_Bagels-Mesmerizing_Garlic_Bagels.jpg,,,True,,,193,15.0,7.0,8.0
302,Ravaging Blueberry Muffin,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,30.0,,Medium,4.0,1.0,,0.125,1.0,2.0,0.5,0.25,,,,cup almond flour,Pinch of salt,teaspoon baking soda,whole egg,"tablespoons coconut oil, melted",cup coconut milk,cup fresh blueberries,,,,Pre-heat your oven to 350 degree F,Line a muffin tin with paper muffin cups,"Add almond flour, salt, baking soda to a bowl and mix, keep it on the side","Take another bowl and add egg, coconut oil, coconut milk and mix",Add mix to flour mix and gently combine until incorporated,Mix in blueberries and fill the cupcakes tins with batter,Bake for 20-25 minutes,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Ravaging_Blueberry_Muffin-Ravaging_Blueberry_Muffin.jpg,,,True,,,167,15.0,2.1,5.2
306,Hearty Almond Bread,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",15,,60.0,,Medium,8.0,3.0,1.0,2.0,0.25,0.25,0.5,3.0,,,,cups almond flour,teaspoon baking soda,teaspoons baking powder,teaspoon salt,cup almond milk,cup + 2 tablespoons olive oil,whole eggs,,,,Pre-heat your oven to 300 degree F,"Take an 9x5 inch loaf pan and grease, keep it on the side",Add listed ingredients to a bowl and pour the batter into the loaf pan,Bake for 60 minutes,"Once baked, remove from oven and let it cool",Slice and serve!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hearty_Almond_Bread-Hearty_Almond_Bread.jpg,,,True,,,277,21.0,7.0,10.0
307,Mesmerizing Avocado And Chocolate Pudding,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",30,,0.0,,Easy,2.0,1.0,1.0,2.0,0.25,4.0,,,,,,"avocado, chunked",tablespoon natural sweetener such as stevia,"ounces cream cheese, at room temp",teaspoon vanilla extract,"tablespoons cocoa powder, unsweetened",,,,,,Blend listed ingredients in blender until smooth,"Divide the mix between dessert bowls, chill for 30 minutes",Serve and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Mesmerizing_Avocado_And_Chocolate_Pudding-Mesmerizing_Avocado_And_Chocolate_Pudding.jpg,,,True,,,281,27.0,12.0,8.0
311,Spicy Bread Loaf,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",15,,55.0,,Easy,,6.0,3.0,4.0,0.5,0.25,0.25,0.5,,,,big whole eggs,big jalapenos,ounces turkey bacon,cup ghee,teaspoon baking soda,teaspoon salt,cup coconut flour,,,,Pre-heat your oven to 400 degree F,"Cut 3 big jalapenos and cut the jalapenos in slices, cut turkey bacon into thick slices","Place jalapenos and bacon on baking tray, roast for 30 minutes",Flip ad bake for 5 minutes more,Remove seeds from jalapeno and add jalapeno and bacon slices to food processor,"Take a big bowl and add eggs, ghee, ¼ cup water","Mix well and add coconut flour, baking soda, salt and stir",Add jalapeno and bacon mix,Use a bit of ghee to grease the loaf pan. Pour batter into loaf pan,Bake for 40 minutes. Enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Spicy_Bread_Loaf-Spicy_Bread_Loaf.jpg,,,True,,,240,20.0,5.0,9.0
312,Clean Sugar-Free Lemon Curd,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,10.0,,Easy,2.0,4.0,0.3,0.5,3.0,1.0,,,,,,unwaxed lemons (juice and zest kept),cup of erythritol or stevia,cup grams of unsalted butter,whole eggs,egg yolk,,,,,,Get a medium bowl and squeeze out the lemons and zest half of their skin.,Add the stevia or erythritol and the butter.,Heat a pan with boiling water and add the bowl with the lemon mixture on the toe  (ben-Marie method). Careful so that the water doesn't touch the bowl.,Stir the mixture until the butter has melted.,Reduce to low heat and carefully whisk in the eggs. Keep constantly stirring and cook  for 10 minutes. You should end up with a thin conditioner-like texture.,Remove from the heat and place on a sterilized jar or jars,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Clean_Sugar-Free_Lemon_Curd-Clean_Sugar-Free_Lemon_Curd.jpg,,,True,,,258,25.0,2.0,7.0
315,Raspberry Pudding Meal,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,+ Chill Time,0.0,,Easy,4.0,3.0,0.5,1.0,0.25,1.0,,,,,,tbsp chia seeds,cup unsweetened almond milk,scoop chocolate protein powder,"cup raspberries, fresh or frozen",tsp honey,,,,,,"Combine the almond milk, protein powder, and chia seeds together",Let rest for 5 minutes before stirring.,Refrigerate for 30 minutes.,Top with raspberries.,Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Raspberry_Pudding_Meal-Raspberry_Pudding_Meal.jpg,,,True,,,191,14.0,10.0,9.0
316,Dreamy Vanilla Dessert,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,+ chill time,0.0,,Easy,2.0,0.5,0.5,,,,,,,,,"cup extra virgin coconut oil, softened","cup coconut butter, softened",Juice of 1 lemon,Seeds from 1/2 a vanilla bean,,,,,,,Whisk the ingredients in an easy-to-pour cup.,Pour into a lined cupcake or loaf pan.,Refrigerate for 20 minutes. Top with lemon zest.,Serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Dreamy_Vanilla_Dessert-Dreamy_Vanilla_Dessert.jpg,,,True,,,205,18.0,7.0,7.0
319,Crusty Almond Roast,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,30.0,,Easy,4.0,1.0,4.0,2.0,0.5,,,,,,,cup keto almond flour,tsp melted butter,large eggs,tsp salt,,,,,,,Mix together the almond flour and butter,Add in the eggs and salt and combine well to form a dough ball.,"Place the dough between two pieces of parchment paper. Roll out to 10"" by 16""  and 1/4 inch thick.",Bake for 30 minutes at 350°F or until golden brown.,Serve,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Crusty_Almond_Roast-Crusty_Almond_Roast.jpg,,,True,,,190,18.0,5.0,8.0
324,Delightful Coconut Custard,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",12,,300.0,,Easy,8.0,8.0,4.0,1.0,2.0,1.0,,,,,,"large eggs, lightly beaten",cups coconut milk,cup Erythritol,teaspoons stevia powder,teaspoon coconut extract,,,,,,Coat the inside of your Slow Cooker with coconut oil,"Stir in eggs, coconut milk, stevia, Erythritol, coconut extract to your Slow Cooker",Stir and place the lid,Cook on LOW for 5 hours,Let it cool for 1-2 hours,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The  temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Delightful_Coconut_Custard-Delightful_Coconut_Custard.jpg,,,True,,,375,35.0,4.0,8.0
326,Chocolate Fat Bombs,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,+ 60 min chill time,0.0,,Easy,4.0,0.25,0.25,10.0,,,,,,,,c of coconut oil,c of cocoa butter,drops vanilla-flavored stevia drops,,,,,,,,Take a small saucepan and place it over medium heat,"Add coconut oil and butter, let it heat up until combined",Remove heat and stir in stevia until combined well,Pour mix into muffin tins and transfer to freezer,Let it chill for 1 hour,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chocolate_Fat_Bombs-Chocolate_Fat_Bombs_R6FtQYc.jpg,,,True,,,317,21.0,4.0,11.0
339,Jalapeno And Bacon Fat Bomb,"{'id': 8, 'category': 'Desserts Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Desserts_Recipes-Desserts.png'}",10,,10.0,,Easy,4.0,12.0,16.0,6.0,2.0,1.0,,,,,,large jalapeno peppers,beef bacon strips,ounces full fat cream cheese,teaspoons garlic powder,teaspoon chili powder,,,,,,Pre-heat your oven to 350 degrees Fahrenheit.,Place a wire rack over a roasting pan and keep it on the side.,"Make a slit lengthways across jalapeno pepper and scrape out the seeds, discard  them.",Place a nonstick skillet over high heat and add half of your bacon strip; cook until  crispy. Drain them.,Chop the cooked bacon strips and transfer them to a large bowl.,Add cream cheese and mix.,Season the cream cheese and bacon mixture with garlic and chili powder. Mix well.,Stuff the mix into the jalapeno peppers and wrap raw bacon strips all around.,Arrange the stuffed wrapped jalapeno on a prepared wire rack.,Roast for 10 minutes. Transfer to a cooling rack and serve!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Jalapeno_And_Bacon_Fat_Bomb-Jalapeno_And_Bacon_Fat_Bomb.jpg,,,True,,,209,10.0,7.0,10.0
